Libelle;Densite de generalistes lib. 2024;Densite de population (historique depuis 1876) en 2022.;Part des personnes agees de 75 ans ou plus, 2022;Taux d'activité par tranche d'âge (25 à 59 ans), 2022;Part des ménages fiscaux imposés, 2021;Part des actifs occupés de 15 ans ou plus qui utilisent principalement les transports en commun pour aller travailler, 2022;Présence d'une faculté de médecine;Part de bénéf. de produits pharma dans la pop 2024;Densité d'infirmiers lib. 2024;Densité de kinés lib. 2024;Indice de vieillissement 2022
ZONE;DENS_MED_LIB;DENSITE;PART_75;TAUX_ACTIV;PART_IMPOT;PART_TRANS_COMM;UNIV;PART_PHARMA;DENS_INF;DENS_KIN;IND_VIEIL
Bar-le-Duc;7.8;31.5;11.9;90.9;49.4;3.7;0;92.8;14.6;5.6;127.9
Chalons-en-Champagne;6.6;40.4;9.8;90.6;51.4;4.7;0;NA;11.5;5.7;88.6
Charleville-Mezieres;7.1;74.8;10;88.3;44.1;3.8;0;92.8;17.8;11.4;99.2
Chaumont;6.5;22.8;12.7;91.6;47.1;1.6;0;NA;12.9;6.6;134.9
Colmar;8.8;174.5;10.5;92.6;57.8;6;0;92.3;13.5;12.8;104.1
epernay;7.6;62.1;10.9;94.2;57.4;2.7;0;93.7;11.9;8.2;109.7
epinal;7.9;56.9;10.9;90.6;47.8;3.1;0;NA;12.5;7.8;108.4
Forbach;4.1;517.1;10.2;84.2;42.9;3.2;0;87.6;22.6;8.4;103
Haguenau;8.9;156.9;9.4;93.3;59.4;5.6;0;93.3;17.7;19;101.2
Metz;8.8;233;9;90.2;49.9;11.3;0;94.5;13.8;9.7;88.1
Mulhouse;7.4;272.9;9.6;89;53.9;7.7;0;95;12.5;10;89.2
Nancy;10.3;137.7;9.4;90.3;53.5;10.7;0;NA;13.2;11.3;87.5
Reims;10.5;134.2;8.5;90.7;53;10.4;1;93.1;11.4;12.1;76.9
Remiremont;8.1;79.1;13.4;93.1;45.8;1.5;0;89.2;12.4;10.7;146.7
Romilly-sur-Seine;5.3;33.7;10.8;90.3;48.2;4.3;0;89.4;11.8;4.9;99.8
Saint-Avold;6;120.8;9.5;89.1;48.2;2.3;0;93;20.4;8.8;103.3
Saint-Die-des-Vosges;7.4;66.9;11.6;89.9;43.8;2.7;0;93;17.1;6.8;124.9
Saint-Louis;6;181.9;8;91.2;69.3;7;0;83.9;6.4;6.3;85.5
Sarrebourg;7.4;54.5;11;91;50.3;5.8;0;NA;20;12.9;113.2
Sarreguemines;6.6;88;10.4;90.2;50.3;2.8;0;90.1;21.3;13.2;120.9
Sedan;6.8;34.3;10.7;88.4;41.4;1.8;0;87.8;17.3;10.3;106.1
Selestat;10;136;9.4;93.4;57.1;7.3;0;95.9;15.4;14.6;92.8
Strasbourg;11.3;413.4;8.5;90.5;56;17.1;1;96.8;13.7;18.6;78.4
Thionville;6;211;8.8;90.8;34.9;10.3;1;88.2;11.4;5.5;80.2
Troyes;6.6;53.2;10.6;90.1;48;4.8;0;88.3;12.1;8.5;94.2
Verdun;8.1;27.1;10.6;90.6;46;2.1;0;NA;14.3;8.7;105.2
Vitry-le-Francois Saint-Dizier;5.9;39.5;11.4;88.5;44.8;2.1;0;NA;15.1;5.2;113.2
Ancenis;6.5;85.6;9.3;95.5;47;3.8;0;87.3;9.5;7.1;74.5
Angers;11;205.9;9.3;93.7;52.1;9.1;1;94.4;9.1;12.8;77
Challans;6.7;124.7;14.5;94.2;51.4;1.5;0;95.4;14.4;11.9;167.1
Chateau-Gontier-sur-Mayenne;6.1;55.9;11.6;94.9;45.9;1.3;0;89.4;11.5;6.8;95
Chateaubriant;6;52.1;9.7;92.8;42.1;2.1;0;89.9;8.9;6;78.7
Cholet;6.7;115.9;10.1;95;47.5;2.1;0;90.9;8;7.6;83
Fontenay-le-Comte;5.9;61.5;13.6;92.9;45.7;1;0;91.5;10.3;8.1;138.9
La Ferte-Bernard;3.4;50.1;13.4;93.3;46.9;2.1;0;87.9;9.3;5.1;120.6
La Fleche;7.7;46;12.3;93;42.7;1.4;0;88.7;9.3;5.6;107.1
La Roche-sur-Yon;5.9;123.5;8.5;94.7;50.6;2.7;0;94.5;9.4;8.6;76.6
Laval;6;86.3;10.5;94.2;49.6;4;0;92;10.1;8.5;87.3
Le Mans;6.1;143.5;10.5;92.4;51.3;9.9;0;92;9.6;7.8;90.7
Les Herbiers-Montaigu;5.6;97.8;8.5;96.1;47.7;1.3;0;90.9;7.2;7.9;72.8
Les Sables-d'Olonne;8.2;164.7;16.5;93.8;55.5;1.9;0;96.6;14.3;16.3;204.2
Mayenne;4.9;41.2;12.5;93.4;45.1;1.2;0;87.1;11.6;4.3;112.5
Nantes;9.7;348.4;7.6;93.6;58.1;15.6;1;91.8;7.3;14.9;64.9
Pornic;7.1;144.8;12.5;94;56;2.6;0;94.8;10.7;10.5;133
Sable-sur-Sarthe;6;52.8;10.7;94.2;46.4;2.8;0;88.6;10.8;5.1;88.2
Saint-Nazaire;9.1;232.4;11.6;93.3;54.7;5.6;0;95.3;11.9;11.5;111.4
